,name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,Selfie Camera,model
118,Iphone 7 ( 32GB),480.0,No ,No,1000,No ,LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,7
119,APPLE IPHONE 7 32GB ID: 160881-2,270.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
120,Iphone 8 ( 64GB),350.0,Yes ,No,1100,No ,IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,2017 Y.,1,8
121,iphone 6s,180.0,Yes ,Yes,1700,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,6s
122,iphone 7 128GB,470.0,Yes ,Yes,7000,No ,Retina IPS LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,4.0,4.7,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,5,7
123,iPhone 12 Pro 256GB ბათუმი,3150.0,Yes ,Yes,3800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
124,iphone 5s,90.0,Yes ,No,1600,No ,LCD ,Yes ,16,Yes ,No ,2,iOS ,8,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2013 Y.,2,5s
125,Iphone 6s,230.0,Yes ,Yes,2400,Yes ,AMOLED ,Yes ,16,Yes ,Yes ,2,iOS ,16,3.0,5.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,6s
126,იყიდება Iphone 8,600.0,Yes ,No,4000,Yes ,IPS ,Yes ,64,Yes ,No ,1,iOS ,1,4.0,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,1,8
127,iPhone 6s 16GB Sim Free,250.0,Yes ,No,2300,Yes ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,13,4.0,5.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,6s
128,iphone 8 pluse 64 gb,819.0,No ,No,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,3.0,6.67,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,8
129,IPHONE 12,2800.0,Yes ,No,600,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,2,12.0,4.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,1,12
130,iphone 7 128 gb,450.0,Yes ,No,2000,Yes ,IPS ,Yes ,128,Yes ,Yes ,2,iOS ,1,4.0,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2021 Y.,1,7
131,Iphone xs max,1280.0,Yes ,No,1500,No ,TFT ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,1,xs max
132,Iphone 11 pro 64Gb 93% battery,2150.0,Yes ,No,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,5.8,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
133,iphon X,1050.0,Yes ,Yes,800,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,2,2.0,4.2,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,1,x
134,Iphon 8,674.2162162,Yes ,No,6000,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,8,4.0,5.71,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,5,8
135,IPhone SE 2020 64 GB,850.0,Yes ,Yes,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,se
136,iphone 11 64gb,1500.0,Yes ,No,3000,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,No ,2,iOS ,2,4.0,6.09,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,1,11
137,"იყიდება IPhone 7 Rose Gold, 128 GB",450.0,Yes ,No,1200,Yes ,LCD ,Yes ,128,Yes ,No ,2,iOS ,2,8.0,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,7
138,Iphone 11,1800.0,Yes ,No,3100,No ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,24,11
139,Iphone 7 (32GB),450.0,Yes ,Yes,1000,No ,LCD ,Yes ,64,Yes ,No ,2,iOS ,1,4.0,4.9,One SIM ,Micro-SIM ,No ,No ,2016 Y.,1,7
140,Iphone 6,200.0,Yes ,Yes,500,No ,TFT ,Yes ,64,Yes ,Yes ,1,iOS ,1,12.0,3.0,One SIM ,Mini-SIM ,Yes ,Yes ,2014 Y.,1,6
141,Iphone XR 128gb,950.0,Yes ,No,1600,No ,LCD ,Yes ,128,Yes ,No ,1,iOS ,12,4.0,6.0,One SIM ,Nano-SIM ,,,2019 Y.,1,xr
142,IPHONE XS PRO MAX 512 GB შავი,1500.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,4,iOS ,12,4.0,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs pro
143,Iphone 6s,250.0,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,1,6s
144,iphone 11 pro max,2300.0,No ,No,5500,Yes,Super Retina XDR OLED ,No ,64,Yes ,No ,3,iOS ,3,6.0,6.26,Dual SIM ,Nano-SIM ,,,2021 Y.,2,11 pro
145,iphone x 256 gb აიფონ x 256 გბ,1000.0,Yes ,No,1100,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,x
146,iphone 7 32gb,380.0,Yes ,No,2000,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,7
147,iphone 6s 32gb,320.0,Yes ,No,2100,No ,IPS ,Yes ,32,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,8,6s
148,iphone 6s 16gb,300.0,Yes ,No,2000,No ,IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,8,6s
149,iphone 6s 16gb,280.0,Yes ,No,2100,No ,Retina IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
150,iphone 5c 16gb,140.0,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,No ,1,iOS ,5,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,5,5c
151,iphone 5 32GB,150.0,Yes ,No,1800,No ,IPS ,Yes ,32,Yes ,No ,1,iOS ,5,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,5,5
152,iPhone XS 256 GB Gold გაბზარულია უკან,1000.0,Yes ,No,2600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
153,iphone xs max,1300.0,Yes ,No,3300,,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,6.7,Dual SIM ,Nano-SIM ,,,2019 Y.,1,xs max
154,APPLE IPHONE XS 64GB ID: 163260-4,1150.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
155,iphone 12 pro max,2800.0,Yes ,Yes,3600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,1,12 pro
156,iPhone 6 16 GB განვადებათბს საქართველო კრედო ბანკი,270.0,Yes ,No,1700,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,1.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,12,6
157,"iPhone 8 64GB 1წლიანი გარანტია, განვადება კრედო,",800.0,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,8,8
158,იყიდება Iphone 6,150.0,Yes ,Yes,1800,,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,4.7,One SIM ,Nano-SIM ,,,2014 Y.,1,6
159,iphone 4s iafad,50.0,Yes ,No,1500,No ,LCD ,No ,16,No ,No ,2,iOS ,8,0.5,3.5,One SIM ,Micro-SIM ,Yes ,Yes ,2011 Y.,1,4s
160,იყიდება Iphone 6,180.0,Yes ,Yes,9000,,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,4.7,One SIM ,Nano-SIM ,,,2014 Y.,1,6
161,iphone 5 16 GB uproblemo,90.0,Yes ,No,1500,No ,IPS ,Yes ,16,Yes ,No ,2,iOS ,8,1.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,2,5
162,iphone 6s,200.0,Yes ,No,1700,No ,IPS LCD ,No ,64,No ,No ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,,,2015 Y.,1,6s
163,iPhone 6 16 GB,150.0,Yes ,No,1800,No ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,1,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,1,6
164,"IPhone 8 64 GB -1 წლიანი გარანტიით, განავდებით",1000.0,Yes ,No,1800,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
165,"IPhone XR 64GB -1 წლიანი გარანტიით,განავდებით",999.0,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,12,xr
166,"Apple Iphone 11 Pro 256GB -1 წლიანი გარანტიით, განვადებით",2649.0,Yes ,No,3000,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
167,"IPhone X 64GB -1 წლიანი გარანტიით,განვადებით",1399.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
168,"IPhone X 64GB -1 წლიანი გარანტიით, განვდებით",999.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
169,"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1299.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,x
170,"IPhone 8 64GB -1 წლიანი გარანტიით, განვადებით",949.0,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
171,"IPhone 8 64GB GOLD -1 წლიანი გარანტიით, განვადებით",899.0,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
172,iphone 7 dazianebulia,170.0,Yes ,No,2000,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,7
173,saswrafod!!! iphone 6 plus sim free,180.0,Yes ,No,3000,No ,LCD ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,5,6
174,"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1399.0,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,x
175,Apple 8 Plus 64GB - 1 წლიანი გარანტიით განვადებით,1199.0,Yes ,No,2600,No ,LTPS IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8+
176,"IPhone Xs Max 512GB -1 წლიანი გარანტიით, განვადებით",2499.0,Yes ,No,3000,Yes ,Dynamic AMOLED ,Yes ,512,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs max
177,"IPhone 11 Pro max 64GB -1წლიანი გარანტიით, განვადებით",2949.0,Yes ,Yes,3900,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,11 pro
178,"IPhone 6S 32 GB - 1 წლიანი განვადებით, გარანტიით",420.0,Yes ,No,1700,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,6s
179,"IPhone 11 Pro Max 64 GB - 1 წლიანი გარანტიით, განავდებით",2799.0,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,12,11 pro
180,"IPhone 6S Plus 64 GB -1 წლიანი გარანტიით, განვადებით",699.0,Yes ,No,2700,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,7,6s
181,IPhone XS 64GB -1 წლიანი გარანტიით,1599.0,Yes ,No,2600,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xs
182,"IPhone XS 64GB -1 წლიანი გარანტიით, განვადებით",1599.0,Yes ,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
183,"IPhone 6 Plus 16 GB -1 წლიანი გარანტიით, განვადებით",499.0,Yes ,No,2900,No ,LCD TFT ,Yes ,16,Yes ,Yes ,2,iOS ,8,1.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,6
184,iphone 11,1400.0,Yes ,No,3400,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,4.0,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,1,11
185,iPhone XS,1300.0,Yes ,No,3000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,xs
186,iPhone 7,350.0,Yes ,No,1900,Yes ,LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,5,7
187,Iphone Xs,1350.0,Yes ,Yes,2600,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.0,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,xs
188,Iphone 12 pro max,3300.0,Yes ,Yes,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
189,Iphone 12 .,2400.0,Yes ,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12
190,Iphone 11 pro,2300.0,Yes ,Yes,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,11 pro
191,iPhone 7 32 Gb,500.0,No ,No,1700,Yes ,IPS ,Yes ,32,Yes ,Yes ,1,iOS ,1,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,7
192,iPhone 8 Plus 64GB Gold,800.0,No ,No,2900,,IPS LCD ,No ,64,Yes ,No ,2,iOS ,13,4.0,5.5,One SIM ,Nano-SIM ,,,2019 Y.,8,8
193,iPhone 12 Pro MAX 256GB,3100.0,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6.0,6.67,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,12 pro
194,iPhone X 64 GB,750.0,Yes ,Yes,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,iOS ,2,4.0,5.8,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,1,x
195,iphone 5s არ ირთვება,30.0,Yes ,No,1300,No ,LCD ,Yes ,16,Yes ,No ,2,iOS ,1,2.0,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,1,5s
196,Apple Iphone 11 pro max 64GB gold,2300.0,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,2,11 pro
197,Apple Iphone 11 pro max 64GB gold,2300.0,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4.0,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,2,11 pro
198,Apple Iphone 11 pro 256GB,2300.0,Yes ,No,2400,Yes ,Super AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,3,4.0,5.8,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
199,iPhone 7 32 gb sim free,400.0,Yes ,Yes,2000,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,1,iOS ,20,4.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,13,7
200,iPhone X 64GB Sim Free,1100.0,Yes ,Yes,3500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,48,8.0,5.0,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,20,x
201,iphone 11 Pro,2050.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
202,Iphone 11 green 64gb,1550.0,Yes ,Yes,700,Yes ,LCD ,Yes ,4,Yes ,Yes ,1,Feature phones ,2,0.5,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2000 Y.,1,11
203,Apple iPhone 6s 32GB,270.0,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,7,6s
204,IPHONE 11 PRO MAX 646GB Space Gray 91%,2450.0,Yes ,No,4000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
205,IPHONE X 64GB Silver 96%,1000.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,x
206,IPHONE 8 64GB Red,600.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,7,8
207,IPHONE XR Black 64GB 89%,1000.0,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xr
208,Apple iPhone SE (2020) 88% Space Gray,820.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,7,se
209,Iphone 11 Purple 85% ტურბო სიმი ნაკაწრები.,1200.0,Yes ,No,3100,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11
210,IPHONE 11 PRO Space Gray 64GB,1950.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
211,IPHONE XS 256GB Space Gray. ყუთით დაზიანებული,800.0,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,xs
212,IPHONE 8 64GB Space Gray,600.0,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,8
213,დაბლოკილი!!! IPHONE XR Black - Blue 64GB,400.0,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4.0,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,7,xr
214,IPHONE 5 აიქლაუდზე დაბლოკილი ნაწილებად.,50.0,Yes ,No,1500,No ,IPS ,Yes ,16,Yes ,No ,1,iOS ,8,4.0,4.0,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,5,5
215,IPHONE 11 PRO Silver 64GB,1950.0,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4.0,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,11 pro
216,IPHONE 8 PLUS Red 64GB,630.0,Yes ,No,2700,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,7,8
217,iphone 8 black 64 GB,629.0,Yes ,Yes,2600,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,8
218,iphone 6s 64GB,180.0,Yes ,No,1700,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,,,2015 Y.,8,6s
219,Iphone 7,430.0,Yes ,Yes,4500,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,64,4.0,5.1,Dual SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,1,7
220,iphone 7 black 32 GB,399.0,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,7
221,iphone 6s space gray 32 GB,299.0,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,6s
222,iphone 7 silver 32 gb,350.0,Yes ,Yes,2700,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,8,7
223,iphone 7,330.0,Yes ,No,1800,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,1,2.0,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,1,7
224,iPhone 11,1850.0,Yes ,No,3100,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,13,11
225,IPHONE 6 16GB აიქლაუდზე დაბლოკილი,90.0,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,8,4.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,5,6
226,Iphone 12 Pro max,3550.0,Yes ,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6.0,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,12,12 pro
227,iPhone 11 pro max 512gb,2700.0,Yes ,No,4000,Yes ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,3,iOS ,64,4.0,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,1,11 pro
228,Iphone 7 ყუთით და კარგ მდგომარეობაში,450.0,Yes ,Yes,900,No ,LCD ,Yes ,32,Yes ,No ,2,iOS ,2,4.0,5.3,One SIM ,Nano-SIM ,Yes ,No ,2016 Y.,1,7
229,იყიდება აიფონ 11-iphone 11,1900.0,Yes ,Yes,2400,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,6.5,One SIM ,Micro-SIM ,No ,Yes ,2019 Y.,1,11
230,iphon xs max,1330.0,Yes ,No,2800,No ,LCD ,Yes ,256,Yes ,Yes ,3,iOS ,12,4.0,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,xs max
231,სასწრაფოდ! იყიდება Iphone XS.,2000.0,Yes ,No,1000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,64,8.0,4.3,One SIM ,Nano-SIM ,No ,Yes ,2019 Y.,1,xs
232,Iphone xs,1150.0,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4.0,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,8,xs
233,iphone 5s 16 gb,130.0,Yes ,No,500,No ,LCD ,Yes ,16,Yes ,No ,1,iOS ,1,12.0,3.0,One SIM ,Micro-SIM ,,,2000 Y.,1,5s
234,Apple iPhone 7 Plus 32GB Gold,480.0,Yes ,No,2900,No ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,8,2.0,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,1,7
235,iphone se 2020,710.0,No ,No,1800,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3.0,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,8,se
